strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.2,69.81,62.43,77.67,61.63
each_layer,2,1.0,valid_all,1.5+1.2,85.16,76.23,89.96,75.51
each_layer,3,1.0,valid_all,1.5+1.2,84.06,76.01,89.09,75.33
each_layer,4,1.0,valid_all,1.5+1.2,82.34,75.33,87.6,74.68
each_layer,5,1.0,valid_all,1.5+1.2,85.52,77.7,90.09,77.05
each_layer,6,1.0,valid_all,1.5+1.2,84.64,76.59,89.4,75.92
each_layer,7,1.0,valid_all,1.5+1.2,81.62,74.91,86.78,74.28
each_layer,8,1.0,valid_all,1.5+1.2,82.79,75.15,87.88,74.48
each_layer,9,1.0,valid_all,1.5+1.2,83.34,76.1,88.29,75.46
each_layer,10,1.0,valid_all,1.5+1.2,84.12,76.0,89.0,75.31
each_layer,11,1.0,valid_all,1.5+1.2,83.9,75.43,88.83,74.72
each_layer,12,1.0,valid_all,1.5+1.2,83.67,74.92,88.66,74.19
esm,-1,2.3768488745980707,valid_all,1.5+1.2,85.65,77.42,90.17,76.75
pabee,-1,2.0659586361095585,valid_all,1.5+1.2,83.28,75.55,88.32,74.88
random,-1,1.8185396575477268,valid_all,1.5+1.2,82.14,73.51,87.48,72.78
