strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.2,71.53,57.55,80.15,56.36
each_layer,2,1.0,valid_all,1.5+1.2,85.91,75.83,90.52,75.06
each_layer,3,1.0,valid_all,1.5+1.2,82.79,73.99,88.03,73.25
each_layer,4,1.0,valid_all,1.5+1.2,82.79,75.27,87.94,74.6
each_layer,5,1.0,valid_all,1.5+1.2,84.61,77.07,89.4,76.42
each_layer,6,1.0,valid_all,1.5+1.2,86.82,79.92,91.05,79.33
each_layer,7,1.0,valid_all,1.5+1.2,84.64,78.68,89.29,78.12
each_layer,8,1.0,valid_all,1.5+1.2,86.07,79.8,90.43,79.24
each_layer,9,1.0,valid_all,1.5+1.2,87.73,81.11,91.68,80.55
each_layer,10,1.0,valid_all,1.5+1.2,88.08,81.15,91.97,80.58
each_layer,11,1.0,valid_all,1.5+1.2,88.83,81.71,92.52,81.14
each_layer,12,1.0,valid_all,1.5+1.2,88.77,80.53,92.51,79.9
esm,-1,2.338352524357839,valid_all,1.5+1.2,88.34,80.16,92.23,79.52
pabee,-1,1.973726369753284,valid_all,1.5+1.2,87.44,79.49,91.53,78.85
random,-1,1.8491094656794076,valid_all,1.5+1.2,84.84,75.97,89.7,75.24
