strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,75.81,81.23,61.96,81.56
each_layer,2,1.0,valid_all,1.5+1.4,83.21,87.65,71.25,87.94
each_layer,3,1.0,valid_all,1.5+1.4,82.92,87.71,69.35,88.03
each_layer,4,1.0,valid_all,1.5+1.4,82.79,87.6,69.47,87.92
each_layer,5,1.0,valid_all,1.5+1.4,83.83,88.52,70.29,88.84
each_layer,6,1.0,valid_all,1.5+1.4,84.77,88.93,73.37,89.2
each_layer,7,1.0,valid_all,1.5+1.4,85.45,89.44,74.58,89.7
each_layer,8,1.0,valid_all,1.5+1.4,85.32,89.15,75.07,89.4
each_layer,9,1.0,valid_all,1.5+1.4,84.81,89.18,72.48,89.47
each_layer,10,1.0,valid_all,1.5+1.4,85.26,89.26,74.36,89.52
each_layer,11,1.0,valid_all,1.5+1.4,85.75,89.51,75.36,89.76
each_layer,12,1.0,valid_all,1.5+1.4,85.0,89.14,73.35,89.41
esm,-1,1.8060985144644253,valid_all,1.5+1.4,85.39,89.29,74.88,89.54
pabee,-1,2.177704454395475,valid_all,1.5+1.4,84.74,88.92,73.37,89.19
random,-1,1.840820798884351,valid_all,1.5+1.4,83.6,87.91,71.66,88.19
