strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,66.17,75.41,21.44,76.36
each_layer,2,1.0,valid_all,1.5+1.4,78.18,84.25,59.83,84.68
each_layer,3,1.0,valid_all,1.5+1.4,80.84,85.93,66.93,86.26
each_layer,4,1.0,valid_all,1.5+1.4,81.72,86.6,68.58,86.91
each_layer,5,1.0,valid_all,1.5+1.4,84.68,88.31,75.21,88.54
each_layer,6,1.0,valid_all,1.5+1.4,84.25,88.33,73.1,88.6
each_layer,7,1.0,valid_all,1.5+1.4,84.25,88.28,73.06,88.55
each_layer,8,1.0,valid_all,1.5+1.4,85.19,88.92,75.08,89.16
each_layer,9,1.0,valid_all,1.5+1.4,83.83,88.36,70.44,88.67
each_layer,10,1.0,valid_all,1.5+1.4,84.94,88.83,74.2,89.09
each_layer,11,1.0,valid_all,1.5+1.4,84.94,88.9,73.9,89.17
each_layer,12,1.0,valid_all,1.5+1.4,84.77,88.78,73.61,89.04
esm,-1,1.6187097621863091,valid_all,1.5+1.4,84.81,88.77,73.98,89.03
pabee,-1,1.8751902587519025,valid_all,1.5+1.4,84.03,88.26,71.81,88.55
random,-1,1.8491094656794076,valid_all,1.5+1.4,81.88,86.52,68.44,86.84
