strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.8+1.7,69.63,44.35,81.74,43.34
each_layer,2,1.0,valid_all,1.8+1.7,81.84,68.19,88.26,67.65
each_layer,3,1.0,valid_all,1.8+1.7,83.14,70.84,89.02,70.35
each_layer,4,1.0,valid_all,1.8+1.7,83.46,72.33,89.08,71.88
each_layer,5,1.0,valid_all,1.8+1.7,84.88,74.54,89.99,74.13
each_layer,6,1.0,valid_all,1.8+1.7,88.46,78.14,92.55,77.75
each_layer,7,1.0,valid_all,1.8+1.7,90.18,79.52,93.77,79.13
each_layer,8,1.0,valid_all,1.8+1.7,90.19,79.73,93.78,79.35
each_layer,9,1.0,valid_all,1.8+1.7,91.14,81.03,94.41,80.67
each_layer,10,1.0,valid_all,1.8+1.7,91.67,81.54,94.77,81.19
each_layer,11,1.0,valid_all,1.8+1.7,91.04,81.41,94.31,81.06
each_layer,12,1.0,valid_all,1.8+1.7,91.65,81.42,94.76,81.06
esm,-1,1.1639383316883911,valid_all,1.8+1.7,91.72,81.67,94.81,81.31
pabee,-1,1.896786001497463,valid_all,1.8+1.7,89.39,78.0,93.25,77.59
random,-1,1.836932001289075,valid_all,1.8+1.7,86.65,72.91,91.62,72.41
