strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.8+1.7,50.02,31.22,64.16,30.33
each_layer,2,1.0,valid_all,1.8+1.7,87.16,67.46,92.5,66.78
each_layer,3,1.0,valid_all,1.8+1.7,88.09,70.25,93.02,69.63
each_layer,4,1.0,valid_all,1.8+1.7,89.74,72.93,94.08,72.36
each_layer,5,1.0,valid_all,1.8+1.7,89.26,75.79,93.43,75.32
each_layer,6,1.0,valid_all,1.8+1.7,91.84,81.35,94.96,80.98
each_layer,7,1.0,valid_all,1.8+1.7,92.68,82.98,95.5,82.64
each_layer,8,1.0,valid_all,1.8+1.7,92.05,82.83,95.02,82.5
each_layer,9,1.0,valid_all,1.8+1.7,92.74,82.65,95.51,82.3
each_layer,10,1.0,valid_all,1.8+1.7,93.02,83.43,95.67,83.1
each_layer,11,1.0,valid_all,1.8+1.7,92.54,83.21,95.37,82.88
each_layer,12,1.0,valid_all,1.8+1.7,92.21,83.26,95.12,82.94
esm,-1,1.1078717201166182,valid_all,1.8+1.7,92.4,83.14,95.26,82.81
pabee,-1,1.5201689076564062,valid_all,1.8+1.7,91.91,79.85,95.17,79.43
random,-1,1.8269230769230769,valid_all,1.8+1.7,87.47,71.69,92.44,71.13
