strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.5,82.47,84.02,81.33,84.04
each_layer,2,1.0,valid_all,1.5+1.5,87.07,88.64,85.26,88.67
each_layer,3,1.0,valid_all,1.5+1.5,86.79,88.69,84.65,88.72
each_layer,4,1.0,valid_all,1.5+1.5,87.32,89.11,85.3,89.15
each_layer,5,1.0,valid_all,1.5+1.5,87.46,89.58,85.06,89.62
each_layer,6,1.0,valid_all,1.5+1.5,89.35,90.96,87.5,90.99
each_layer,7,1.0,valid_all,1.5+1.5,88.88,90.87,86.62,90.9
each_layer,8,1.0,valid_all,1.5+1.5,89.32,91.12,87.25,91.15
each_layer,9,1.0,valid_all,1.5+1.5,89.54,91.39,87.44,91.43
each_layer,10,1.0,valid_all,1.5+1.5,89.42,91.33,87.28,91.36
each_layer,11,1.0,valid_all,1.5+1.5,89.65,91.45,87.64,91.48
each_layer,12,1.0,valid_all,1.5+1.5,89.37,91.17,87.41,91.2
esm,-1,1.7562779232783854,valid_all,1.5+1.5,89.67,91.28,87.84,91.31
pabee,-1,2.395377341971633,valid_all,1.5+1.5,88.88,90.5,87.1,90.53
random,-1,1.8212317277737837,valid_all,1.5+1.5,87.96,89.57,86.1,89.6
