strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.5,78.86,81.95,75.4,82.01
each_layer,2,1.0,valid_all,1.5+1.5,84.88,86.81,82.6,86.84
each_layer,3,1.0,valid_all,1.5+1.5,86.6,88.02,84.82,88.05
each_layer,4,1.0,valid_all,1.5+1.5,87.26,88.79,85.46,88.82
each_layer,5,1.0,valid_all,1.5+1.5,86.49,88.86,83.86,88.91
each_layer,6,1.0,valid_all,1.5+1.5,87.67,89.76,85.29,89.8
each_layer,7,1.0,valid_all,1.5+1.5,88.77,90.43,86.93,90.46
each_layer,8,1.0,valid_all,1.5+1.5,89.02,90.73,87.13,90.77
each_layer,9,1.0,valid_all,1.5+1.5,89.12,90.9,87.13,90.93
each_layer,10,1.0,valid_all,1.5+1.5,89.54,91.18,87.67,91.22
each_layer,11,1.0,valid_all,1.5+1.5,89.63,91.33,87.76,91.36
each_layer,12,1.0,valid_all,1.5+1.5,90.35,91.73,88.85,91.76
esm,-1,1.6918967052537843,valid_all,1.5+1.5,89.98,91.36,88.45,91.39
pabee,-1,2.2153128643606683,valid_all,1.5+1.5,89.3,90.59,87.8,90.62
random,-1,1.8556701030927836,valid_all,1.5+1.5,87.18,88.85,85.23,88.88
