strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,93.57,87.41,95.86,85.73
each_layer,2,1.0,valid_all,1.5+1.4,93.82,88.21,95.98,86.66
each_layer,3,1.0,valid_all,1.5+1.4,94.37,89.39,96.32,88.0
each_layer,4,1.0,valid_all,1.5+1.4,94.48,89.53,96.41,88.15
each_layer,5,1.0,valid_all,1.5+1.4,94.47,89.51,96.39,88.13
each_layer,6,1.0,valid_all,1.5+1.4,94.35,89.3,96.32,87.9
each_layer,7,1.0,valid_all,1.5+1.4,94.43,89.44,96.37,88.05
each_layer,8,1.0,valid_all,1.5+1.4,94.48,89.59,96.41,88.22
each_layer,9,1.0,valid_all,1.5+1.4,94.45,89.62,96.38,88.26
each_layer,10,1.0,valid_all,1.5+1.4,94.43,89.42,96.38,88.02
each_layer,11,1.0,valid_all,1.5+1.4,94.32,89.06,96.31,87.61
each_layer,12,1.0,valid_all,1.5+1.4,94.3,89.03,96.31,87.57
esm,-1,2.6556506344054296,valid_all,1.5+1.4,94.22,88.95,96.24,87.49
pabee,-1,2.9077985541779414,valid_all,1.5+1.4,94.23,88.93,96.26,87.46
random,-1,1.8580645161290323,valid_all,1.5+1.4,94.38,89.25,96.36,87.83
