strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.4+1.5,82.62,85.54,74.42,86.28
each_layer,2,1.0,valid_all,1.4+1.5,85.93,88.09,79.11,88.69
each_layer,3,1.0,valid_all,1.4+1.5,86.0,88.32,78.79,88.96
each_layer,4,1.0,valid_all,1.4+1.5,86.6,88.81,79.86,89.41
each_layer,5,1.0,valid_all,1.4+1.5,86.2,88.67,78.55,89.34
each_layer,6,1.0,valid_all,1.4+1.5,86.93,89.15,79.82,89.77
each_layer,7,1.0,valid_all,1.4+1.5,87.07,89.23,80.1,89.83
each_layer,8,1.0,valid_all,1.4+1.5,86.88,89.13,79.74,89.76
each_layer,9,1.0,valid_all,1.4+1.5,86.48,88.83,78.94,89.49
each_layer,10,1.0,valid_all,1.4+1.5,86.75,88.97,79.4,89.61
each_layer,11,1.0,valid_all,1.4+1.5,86.62,88.87,79.21,89.51
each_layer,12,1.0,valid_all,1.4+1.5,86.18,88.64,78.23,89.34
esm,-1,2.255709765343526,valid_all,1.4+1.5,87.1,89.35,79.98,89.97
pabee,-1,2.5738185457925216,valid_all,1.4+1.5,86.73,89.02,79.69,89.64
random,-1,1.8360321305622849,valid_all,1.4+1.5,86.55,88.82,79.4,89.45
