strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.4+1.5,63.92,71.64,1.3,76.33
each_layer,2,1.0,valid_all,1.4+1.5,69.98,76.05,41.69,78.34
each_layer,3,1.0,valid_all,1.4+1.5,76.38,80.66,64.68,81.72
each_layer,4,1.0,valid_all,1.4+1.5,79.9,83.83,67.82,84.9
each_layer,5,1.0,valid_all,1.4+1.5,81.85,85.15,72.09,86.02
each_layer,6,1.0,valid_all,1.4+1.5,84.05,86.75,76.13,87.46
each_layer,7,1.0,valid_all,1.4+1.5,84.25,87.16,75.34,87.95
each_layer,8,1.0,valid_all,1.4+1.5,84.35,87.32,75.32,88.12
each_layer,9,1.0,valid_all,1.4+1.5,84.65,87.54,75.73,88.32
each_layer,10,1.0,valid_all,1.4+1.5,84.48,87.44,75.42,88.24
each_layer,11,1.0,valid_all,1.4+1.5,84.57,87.43,75.55,88.22
each_layer,12,1.0,valid_all,1.4+1.5,85.0,87.82,76.01,88.6
esm,-1,1.7226116706940688,valid_all,1.4+1.5,84.27,87.32,74.6,88.16
pabee,-1,1.7165335558469423,valid_all,1.4+1.5,83.68,86.94,73.43,87.84
random,-1,1.8510424968506567,valid_all,1.4+1.5,79.93,83.67,67.36,84.76
